Marek Grechuta	Dni, których nie znamy
Jacek Kaczmarski	Mury
Eugeniusz Bodo	Umówiłem się z nią na dziewiątą
Lombard	Przeżyj to sam
Lombard	Szklana Pogoda
Skaldowie	Wszystko mi mówi, że mnie ktoś pokochał
Skaldowie	Z kopyta kulig rwie
Skaldowie	Prześliczna wiolonczelistka
Skaldowie	Wszystko kwitnie w koło
Czesław Niemen	Sen o Warszawie
Czesław Niemen	Pod Papugami
Czesław Niemen	Mimozami
Anna Jantar	Najtrudniejszy pierwszy krok
Anna Jantar	Tyle słońca w całym mieście
Anna Jantar	Nic nie może przecież wiecznie trwać
Anna Jantar	Moje jedyne marzenie
Anna Jantar	Radość najpiękniejszych lat
Justyna Steczkowska	Dziewczyna Szamana
Edyta Górniak	Kolorowy wiatr
Edyta Górniak	To nie Ja
